" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_FORGOT_TO_OPEN_CHEST_2ND_NOTIFICATION","Did you forget to start unlocking a chest? Here's a reminder!","Avez-vous oublié de débloquer un coffre ? Voici un rappel !","Hast du vergessen, eine Truhe zu öffnen? Hier ist eine Erinnerung!","¿Se te ha olvidado empezar a abrir algún cofre? ¡Pues aquí tienes un recordatorio!","Hai dimenticato di iniziare a sbloccare un baule? Ecco un promemoria!","Ben je vergeten een kist te ontgrendelen? Hier is een herinnering!","Har du glemt at du har en kiste som kan låses opp? Her er en påminnelse!","Bir sandığın kilidini açmayı mı unuttun? İşte sana hatırlatma!","宝箱のアンロックを忘れていませんか？チェックしてみましょう！","상자 여는 걸 잊진 않으셨나요?","Забываешь открыть сундуки? А мы напоминаем!","هل نسيت البدء في فتح صندوق؟ إليك تذكير!","Esqueceu de iniciar a abertura de um baú? Aqui está um lembrete!","别忘啦，您还有可解锁的宝箱！","別忘啦，您還有可解鎖的寶箱！","آیا فراموش کردی باز شدن قفل یک صندوقچه رو شروع کنی؟ این یک یادآوری هست!","Lupa membuka peti? Ini pengingatnya!","Adakah anda terlupa untuk mula membuka kunci peti? Ini peringatan!"
"TID_FREE_CHEST_NOTIFICATION","Free treasure chest is waiting for you!","Un coffre au trésor gratuit vous attend !","Eine kostenlose Schatztruhe erwartet dich!","¡Hay cofres gratis esperándote!","Un baule del tesoro in omaggio ti sta aspettando!","Er wacht een gratis schatkist op je!","En gratis skattkiste venter på deg!","Ücretsiz hazine sandığı seni bekliyor!","おまけの宝箱を開いてみましょう！","무료 보물 상자가 기다리고 있습니다!","Тебя ждет бесплатный сундук с сокровищами!","صندوق كنز مجاني في انتظارك!","Um baú do tesouro grátis espera por você!","免费宝箱等您来拿！","免費寶箱等您來拿！","صندوق گنج رایگان منتظر توست!","Peti harta karun gratis menunggumu!","Peti harta karun percuma menunggu anda!"
"TID_FREE_CHEST_2ND_NOTIFICATION","You have a Free Chest ready to open!","Un coffre gratuit est prêt à être ouvert !","Du kannst eine Gratistruhe öffnen!","¡Hay un cofre gratis esperando a que lo abras!","Hai un baule omaggio in attesa di essere aperto!","Er is een gratis kist om te openen!","Du har en gratiskiste som kan åpnes!","Açılmayı bekleyen Ücretsiz bir Sandığın var!","おまけの宝箱があります。開けてみましょう！","열지 않은 무료 상자가 있습니다!","Тебя ждет бесплатный сундук!","لديك صندوق مجاني في انتظار الفتح!","Você tem um baú grátis pronto para ser aberto!","您有一个免费宝箱尚未打开！","您有一個免費寶箱尚未打開！","یک صندوقچه رایگان داری که آماده باز شدن هست!","Ada Peti Gratis yang siap dibuka!","Anda mempunyai Peti Percuma sedia untuk dibuka!"
"TID_CROWN_CHEST_NOTIFICATION","Crown Chest available, time to battle!","Coffre à couronne disponible, vite, au combat !","Kronentruhe verfügbar - Zeit zu kämpfen!","Hay un cofre de coronas disponible. ¡A luchar!","Baule della corona disponibile. Inizia la battaglia!","Kroonkist beschikbaar. Tijd om te vechten!","Kronekiste tilgjengelig, gå i kamp!","Taç Sandığı mevcut, savaş zamanı!","クラウン宝箱が入手可能です。さあ、戦いましょう！","크라운 상자를 열 수 있습니다. 전투를 준비하세요!","Доступен королевский сундук. Пора сразиться!","صندوق التاج متاح، حان وقت المعركة!","Baú da coroa disponível. Hora da batalha!","可以收集皇冠啦，开始对战吧！","可以收集皇冠啦，開戰時刻到了！","صندوقچه تاج در دسترسه، وقت نبرد هست!","Peti Mahkota tersedia. Saatnya bertempur!","Peti Mahkota tersedia, masa untuk bertempur!"
"TID_CROWN_CHEST_2ND_NOTIFICATION","Crown Chest available.","Coffre à couronne disponible","Kronentruhe verfügbar.","¡Cofre de coronas disponible!","Baule della corona disponibile.","Kroonkist beschikbaar.","Kronekiste tilgjengelig.","Taç Sandığı mevcut.","クラウン宝箱が入手可能です。","크라운 상자를 열 수 있습니다.","Доступен королевский сундук.","صندوق التاج متاح.","Baú da coroa disponível.","可以收集皇冠啦。","可以收集皇冠啦。","صندوقچه تاج در دسترس هست.","Peti Mahkota tersedia.","Peti Mahkota tersedia."
"TID_REQUEST_AVAILABLE_NOTIFICATION","You have a card request available!","Demande de carte disponible !","Du kannst deinen Clan um Karten bitten!","Tienes una solicitud de carta disponible.","Hai una richiesta di carte disponibile!","Je kunt om een kaart vragen!","Du har en kortforespørsel tilgjengelig!","Bir kart isteğin var!","カードをリクエストできます！","카드 요청이 가능합니다!","Ты можешь попросить карту!","لديك طلب بطاقة متاح!","Você pode pedir uma carta.","您可以请求捐赠啦！","您可以請求捐贈啦！","یک درخواست کارت در دسترس هست!","Ada permintaan kartu untukmu!","Anda mempunyai permintaan kad tersedia!"
"TID_REQUEST_AVAILABLE_2ND_NOTIFICATION","Remember to request cards from your Clan!","Pensez à demander des cartes à votre clan !","Vergiss nicht, Karten von deinem Clan anzufordern!","Recuerda que puedes pedir cartas a tu clan.","Ricorda di richiedere carte al tuo clan!","Vergeet niet om je clan om kaarten te vragen!","Husk å be om kort fra klanen din!","Klanından kart istemeyi unutma!","クランにカードをリクエストできます！","클랜에 카드 요청하는 걸 잊지 마세요!","Не забудь попросить карты у клана!","تذكر طلب البطاقات من قبيلتك!","Lembre-se de pedir cartas ao seu clã.","别忘了向部落成员请求卡牌捐贈！","別忘了向部落成員請求卡牌捐贈！","یادت باشه که از قبیله درخواست کارت بکنی!","Jangan lupa minta kartu dari Klanmu!","Jangan lupa untuk meminta kad daripada Klan anda!"
"TID_VS","VS","contre","VS.","VS.","VS","VS","MOT","X","VS","VS","ПРОТИВ","ضد","X","VS","VS","در مقابل","VS","LWN"
"TID_VICTORY","VICTORY","VICTOIRE","SIEG","VICTORIA","VITTORIA","OVERWINNING","SEIER","ZAFER","勝利","승리","ПОБЕДА","انتصار","VITÓRIA","胜利","勝利","پیروزی","MENANG","KEMENANGAN"
"TID_DEFEAT","DEFEAT","DÉFAITE","NIEDERLAGE","DERROTA","SCONFITTA","NEDERLAAG","NEDERLAG","YENİLGİ","敗北","패배","ПОРАЖЕНИЕ","هزيمة","DERROTA","战败","戰敗","شکست","KALAH","KALAH"
"TID_DRAW","DRAW","ÉGALITÉ","UNENTSCHIEDEN","EMPATE","PAREGGIO","GELIJKSPEL","UAVGJORT","BERABERE","引き分け","무승부","НИЧЬЯ","تعادل","EMPATE","平局","平局","تساوی","SERI","SERI"
"TID_BUTTON_OK","OK","OK","O. K.","Vale","OK","OK","OK","TAMAM","OK","확인","ДА","موافق","OK","确定","確定","خوب","Oke","OK"
"TID_BUTTON_NEXT","Next","Suivant","Weiter","Siguiente","Avanti","Volgende","Neste","İleri","次へ","다음","Далее","التالي","Avançar","下一个","下一個","بعدی","Berikutnya","Seterusnya"
"TID_GOLD","Gold","OR","Gold","ORO","Oro","GOUD","GULL","Altın","ゴールド","골드","Золото","ذهب","Ouro","金币","金幣","طلا","Emas","Emas"
"TID_DIAMONDS","GEMS","GEMMES","JUWELEN","GEMAS","GEMME","EDELSTENEN","JUVELER","Taş","エメラルド","보석","Кристаллы","جواهر","GEMAS","宝石","寶石","جواهرات","PERMATA","PERMATA"
"TID_TROPHIES","TROPHIES","TROPHÉES","TROPHÄEN","TROFEOS","TROFEI","TROFEEËN","TROFEER","KUPALAR","トロフィー","트로피","ТРОФЕИ","كؤوس","TROFÉUS","奖杯","獎盃","جام‌ها","TROFI","TROFI"
"TID_SHOP_DIAMONDS","Gems","Gemmes","Juwelen","Gemas","Gemme","Edelstenen","Juveler","Taş","エメラルド","보석","Кристаллы","جواهر","Gemas","宝石","寶石","جواهرات","Permata","Permata"
"TID_COME_BACK_NOTIFICATION_SMALL","Battle awaits in the Arena!","Le combat vous attend dans l'arène !","Die Arena erwartet dich!","¡Te esperan batallas en la arena!","La battaglia ti attende nell'arena!","Er wacht je een gevecht in de arena!","Det er kamp på gang i arenaen!","Arenada savaş bekliyor!","アリーナでバトルが待っています！","아레나에서 전투가 기다립니다!","На Арене ждет битва!","تنتظرك المعركة في الساحة!","Uma batalha espera por você na arena!","竞技场在召唤您！","競技場在召喚您！","نبرد در میدان نبرد منتظر هست!","Pertempuran menunggumu di Arena!","Pertempuran menunggu di Arena!"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Battle awaits in the Arena!","Le combat vous attend dans l'arène !","Die Arena erwartet dich!","¡Te esperan batallas en la arena!","La battaglia ti attende nell'arena!","Er wacht je een gevecht in de arena!","Det er kamp på gang i arenaen!","Arenada savaş bekliyor!","アリーナでバトルが待っています！","아레나에서 전투가 기다립니다!","На Арене ждет битва!","تنتظرك المعركة في الساحة!","Uma batalha espera por você na arena!","竞技场在召唤您！","競技場在召喚您！","نبرد در میدان نبرد منتظر هست!","Pertempuran menunggumu di Arena!","Pertempuran menunggu di Arena!"
"TID_COME_BACK_NOTIFICATION_LARGE","Battle awaits in the Arena!","Le combat vous attend dans l'arène !","Die Arena erwartet dich!","¡Te esperan batallas en la arena!","La battaglia ti attende nell'arena!","Er wacht je een gevecht in de arena!","Det er kamp på gang i arenaen!","Arenada savaş bekliyor!","アリーナでバトルが待っています！","아레나에서 전투가 기다립니다!","На Арене ждет битва!","تنتظرك المعركة في الساحة!","Uma batalha espera por você na arena!","竞技场在召唤您！","競技場在召喚您！","نبرد در میدان نبرد منتظر هست!","Pertempuran menunggumu di Arena!","Pertempuran menunggu di Arena!"
"TID_NOT_ENOUGH_RESOURCES_TITLE","Not enough gold!","Pas assez d'or !","Nicht genug Gold!","Oro insuficiente","Oro insufficiente!","Niet genoeg goud!","Ikke nok gull!","Yeterli altın yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","لا يوجد ذهب كاف!","Ouro insuficiente!","金币不足！","金幣不足！","طلا کافی نیست!","Emas tidak cukup!","Tidak cukup emas!"
"TID_NOT_ENOUGH_RESOURCES_TEXT","Buy missing gold?","Acheter l'or manquant ?","Fehlendes Gold kaufen?","¿Quieres comprar más?","Vuoi acquistare l'oro che ti manca?","Het ontbrekende goud kopen?","Vil du kjøpe det gullet du mangler?","Eksik altın satın alınsın mı?","足りないゴールドを購入しますか？","부족한 골드를 구매하시겠습니까?","Докупить золото?","هل تريد شراء الذهب الناقص؟","Comprar o que falta de ouro?","要购买缺少的金币吗？","要購買缺少的金幣嗎？","طلایی که کم هست رو می‌خری؟","Beli emas yang kurang?","Beli emas yang tiada?"
"TID_NOT_ENOUGH_RESOURCES_TEXT_ROUNDED_UP","Buy <GOLD> gold?","Acheter <GOLD> pièces d'or ?","<GOLD> Gold kaufen?","¿Quieres comprar <GOLD> de oro?","Acquistare <GOLD> oro?","<GOLD> goud kopen?","Vil du kjøpe <GOLD> gull?","<GOLD> altın satın almak ister misin?","<GOLD>ゴールドを購入しますか？","<GOLD> 골드를 구매하시겠습니까?","Купить <GOLD> золота?","هل تريد شراء <GOLD> من الذهب؟","Comprar <GOLD> unidades de ouro?","购买<GOLD>金币？","購買<GOLD>金幣？","<GOLD> طلا می‌خری؟","Beli <GOLD> emas?","Beli <GOLD> emas?"
"TID_NOT_ENOUGH_RESOURCES_TEXT_MATCHMAKING","Buy <GOLD> gold and enter battle?","Acheter <GOLD> pièces d'or et engager le combat ?","<GOLD> Gold kaufen und kämpfen?","¿Quieres comprar <GOLD> de oro y participar en la batalla?","Acquistare <GOLD> oro ed entrare in battaglia?","<GOLD> goud kopen en gevecht starten?","Vil du kjøpe <GOLD> gull og gå i kamp?","<GOLD> altın satın alıp savaşa girmek ister misin?","<GOLD>ゴールドを購入してバトルに参加しますか？","<GOLD> 골드를 구매하고 전투를 시작하시겠습니까?","Купить <GOLD> золота и начать бой?","هل تريد شراء <GOLD> من الذهب ودخول المعركة؟","Comprar <GOLD> unidades de ouro e entrar na batalha?","购买<GOLD>金币并开始对战？","購買<GOLD>金幣並開始對戰？","<GOLD> طلا می‌خری و وارد نبرد می‌شی؟","Beli <GOLD> emas dan masuki pertempuran?","Beli <GOLD> emas dan sertai pertempuran?"
"TID_ENTER_NAME_TITLE","What is your name?","Quel est votre nom ?","Wie lautet dein Name?","¿Cómo te llamas?","Qual è il tuo nome?","Hoe heet je?","Hva heter du?","Adın ne?","あなたの名前は？","이름이 뭔가요?","Как тебя зовут?","ما اسمك؟","Qual é o seu nome?","取个名字吧","取個名字吧","اسمت چیه؟","Siapa namamu?","Siapakah nama anda?"
"TID_OPEN_CHEST_BUTTON","Tap to\nunlock","Touchez\npour ouvrir","Zum Öffnen\nantippen","Toca para\ndesbloqueo","Tocca per\nsbloccare","Tik om\nte openen","Trykk for\nå låse opp","Kilidi\naç","タップで\nアンロック","탭해서\n열기","Открой\nкасанием","انقر\nللفتح","Toque para\nabrir","点击\n解锁","點擊\n解鎖","برای باز کردن\nضربه بزن","Ketuk untuk\nmembuka","Ketik untuk\nmembuka kunci"
"TID_CLAIM_CHEST_BUTTON","Open","Ouvrir","Öffnen","Abrir","Apri","Open","Åpen","Aç","開く","열기","Открыть","فتح","Aberto","打开","打開","باز کردن","Buka","Buka"
"TID_NOT_ENOUGH_DIAMONDS","Not enough gems!","Pas assez de gemmes !","Nicht genug Juwelen!","Gemas insuficientes","Gemme insufficienti!","Niet genoeg edelstenen!","Ikke nok juveler!","Yeterli taş yok!","エメラルドが足りません！","보석 부족!","Мало кристаллов!","لا توجد جواهر كافية!","Gemas insuficientes!","宝石不足！","寶石不足！","جواهر کافی نیست!","Permata tidak cukup!","Tidak cukup permata!"
"TID_NAME_FAILED","Sorry, try another name!","Désolé, essayez un autre nom !","Tut uns leid - probiere einen anderen Namen!","Prueba con otro nombre.","Spiacenti, prova un altro nome!","Sorry, probeer een andere naam!","Beklager, prøv et annet navn!","Üzgünüz, başka bir ad dene!","恐れ入りますが、他の名前でおねがいします。","죄송합니다. 다른 이름을 입력해 보세요!","Извини, попробуй лучше другое имя!","عذرًا، جرّب اسمًا آخر!","Por favor, tente outro nome.","抱歉，请换个名字！","抱歉，請換個名字！","متأسفم، از یک اسم دیگه استفاده کن!","Maaf, coba nama lain!","Maaf, cuba nama lain!"
"TID_SPELL_ITEM_LEVEL","Level <NUMBER>","Niveau <NUMBER>","Level <NUMBER>","Nivel <NUMBER>","Livello <NUMBER>","Level <NUMBER>","Nivå <NUMBER>","<NUMBER>. Seviye","レベル<NUMBER>","레벨 <NUMBER>","Уровень <NUMBER>","المستوى <NUMBER>","Nível <NUMBER>","<NUMBER>级","<NUMBER>級","سطح <NUMBER>","Level <NUMBER>","Tahap <NUMBER>"
"TID_SPELL_ITEM_LEVEL_SHORT","lvl.<NUMBER>","nv <NUMBER>","Lvl. <NUMBER>","nvl. <NUMBER>","liv. <NUMBER>","lvl <NUMBER>","nivå <NUMBER>","<NUMBER>. sv.","LV <NUMBER>","lvl. <NUMBER>","ур.<NUMBER>","المستوى <NUMBER>","nvl.<NUMBER>","<NUMBER>级","<NUMBER>級","سطح <NUMBER>","lvl.<NUMBER>","thp.<NUMBER>"
"TID_MATCHMAKING_TIME","Estimated time <TIME>","Délai estimé <TIME>","Geschätzte Dauer: <TIME>","Tiempo estimado: <TIME>","Tempo stimato: <TIME>","Geschatte tijd: <TIME>","Anslått tid: <TIME>","Tahmini süre: <TIME>","予想待ち時間<TIME>","예상 시간: <TIME>","Осталось примерно: <TIME>","الوقت المقدر <TIME>","Tempo estimado <TIME>","预计时间<TIME>","預計時間<TIME>","زمان تخمینی <TIME>","Perkiraan waktu <TIME>","Masa yang dianggarkan <TIME>"
"TID_SPELL_INFO_LOG","A spilt bottle of Rage turned an innocent tree trunk into \qThe Log\q. Now, it seeks revenge by crushing anything in its path!","Un flacon de Rage renversé a changé un tronc d'arbre innocent en \qLa bûche\q. Maintenant, assoiffé de vengeance, ce monstre écrase tout sur son passage !","Eine verschüttete Flasche Wut hat einen unschuldigen Baumstamm in das mächtige \qKampfholz\q verwandelt. Jetzt schreit es nach Rache und zermalmt alles, was sich ihm in den Weg stellt!","Una botella de furia derramada transformó un inofensivo tronco en \qel Tronco\q. ¡Ahora quiere vengarse aplastando todo a su paso!","Una bottiglia di Furia rovesciata ha trasformato un innocente pezzo di legno nel \qTronco\q. Ora cerca di placare la sua sete di vendetta schiacciando tutto ciò che incontra!","Een gemorste fles Woede heeft van een onschuldig boomstammetje 'De stam' gemaakt. Uit wraak verplettert hij nu alles wat er op zijn pad komt!","En sølt raseriflaske gjorde en uskyldig trestamme om til \qtømmerstokken\q. Nå prøver den å knuse alt i sin vei for å ta hevn.","Masum bir ağaç gövdesinin Öfke ile ortadan ikiye ayrılmasıyla \qTomruk\q doğdu. Şimdi yoluna çıkan herkesi ezerek intikam alıyor!","こぼれたレイジの呪文の影響で、切り倒された樹木が恐ろしい\qローリングウッド\qに姿を変えました。復讐に燃えながら、転がる先のあらゆる物体を破壊しようとしています！","분노의 화신이 가만히 있던 나무토막을 \q통나무\q로 바꿔버렸습니다. 이 통나무는 앞을 막는 모든 걸 뭉개버리며 보복에 나섰습니다!","Случайно разлитая бутылочка Ярости превратила обычное поваленное дерево в \qБревно\q. Оно жаждет мести, круша все на своем пути!","زجاجة غضب منسكب حولت جذع شجرة ساقط إلى \qالجذع\q. الآن، يسعى للانتقام بسحق أي شيء في طريقه!","Uma garrafa de Fúria se quebrou e transformou um tronco inocente no \qO Tronco\q. Agora, ele busca a vingança destruindo tudo no caminho!","不小心洒出的狂暴药水将这根无辜的圆木变成了\q复仇滚木\q。现在，它一心复仇，挡住它去路的任何东西都会被无情地碾压！","不小心灑出的狂暴藥水將這根無辜的圓木變成了\q復仇滾木\q。現在，它一心復仇，擋住它去路的任何東西都會被無情地碾壓！","یک بطری شکسته از دعوا باعث شده یک تنه درخت بی‌آزار به \qاین الوار\q تبدیل بشه. حالا، می‌خواد با خرد کردن هر چیزی در سر راهش انتقام بگیره!","Botol Amarah yang tumpah mengubah batang pohon tak berdosa menjadi \qSang Kayu\q. Sekarang, ia mau balas dendam dengan melumat apa saja yang menghadang!","Botol Kemarahan tertumpah menukarkan dahan pokok yang tidak bersalah menjadi \qKayu Balak\q. Sekarang, ia membalas dendam dengan menghancurkan apa jua dalam laluannya!"
"TID_SPELL_INFO_FIREBALL","Annnnnd... Fireball. Incinerates a small area, dealing high damage. Reduced damage to Crown Towers.","Et bim, une boule de feu. Incinère une petite zone, infligeant des dégâts élevés. Dégâts réduits sur les tours couronnées.","Uuuund ... Feuerball. Entzündet einen kleinen Bereich, verursacht großen Schaden. Reduzierter Schaden gegen Kronentürme.","¡Bum! La bola de fuego incinera un área pequeña, en la que causa un gran daño. Es menos efectiva contra las torres de coronas.","E ora... la Sfera infuocata. Incenerisce un'area di piccole dimensioni, infliggendo danni elevati. Danno ridotto alle torri della corona.","En een... vuurbal. Verschroeit een klein gebied, maar veroorzaakt veel schade. Kroontorens lopen minder schade op.","Oooooog ... ildkule! Svir av et lite område og påfører stor skade. Mindre skade på kronetårn.","Veee... Alev Topu. Küçük bir alanı yakıp kül ederek yüksek hasar verir. Taç Kulelerine daha az hasar verir.","おなじみのファイアボール。小範囲を焼きつくし、敵兵士に大きなダメージを与えますが、クラウンタワーに対してはダメージが減少します。","뜨겁고도 뜨거운... 불덩어리입니다. 일정 영역을 불태워 높은 피해를 주지만 크라운 타워에는 비교적 적은 피해를 줍니다.","Оооооо... Огненный шар. Испепеляет небольшую зону, нанося большой урон. Повреждение королевской башни снижено.","و... كرة نارية. تحرق منطقة صغيرة، وتسبب ضررًا كبيرًا. قليلة الضرر لأبراج التاج.","Eeeee... Bola de Fogo! Incinera uma pequena área, causando grande dano. Dano reduzido às torres da coroa.","啊啊啊啊...火球出击。它能焚烧小片区域并造成大量伤害。对皇家塔的伤害会大打折扣。","啊啊啊啊...火球出擊。它能焚燒小片區域並造成大量傷害。對皇家塔的傷害會大打折扣。","ووووووو... توپ آتشی. ناحیه کوچکی از میدان رو به خاکستر تبدیل می‌کنه، آسیب بالایی می‌زنه. آسیب برج‌های تاج کم می‌شه.","Daaaan... Bola Api. Melalap area kecil, menimbulkan kerusakan besar. Kerusakan pada Benteng Mahkota lebih sedikit.","Daaann... Bebola Api. Membakar kawasan kecil, menyebabkan kerosakan besar. Kerosakan pada Menara Mahkota dikurangkan."
